Time;AMF_UE_NGAP_ID;ip_source;procedureCode;EPD;spare;SecHdr;Type;NAS_KSI;5GSRegType;5GSID;UESecCap;PayloadContainerType;PayloadContainer;RES;Seqn;EPD_2;spare_2;SecHdr_2;NASSecAlgo;EPD_3;spare_3;SecHdr_3;Type_2
2.988975;6;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
2.989067;6;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
3.168769;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
3.189859;7;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
3.190036;7;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
3.191602;7;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
3.191782;7;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
3.216178;7;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
3.216467;7;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
3.216599;7;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
3.368744;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
3.381766;8;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
3.381939;8;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
3.383493;8;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
3.383704;8;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
3.40115;8;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
3.401431;8;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
3.401521;8;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
3.56872;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
3.573132;9;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
3.573304;9;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
3.574875;9;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
3.57505;9;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
3.593178;9;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
3.593456;9;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
3.593545;9;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
3.769537;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
3.785346;10;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
3.785512;10;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
3.787102;10;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
3.787276;10;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
3.7948;10;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
3.795078;10;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
3.795171;10;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
3.96882;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
3.975795;11;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
3.976024;11;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
3.977271;11;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
3.977438;11;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
4.000864;11;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
4.001164;11;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
4.001267;11;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
4.168818;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
4.170974;12;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
4.171142;12;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
4.172452;12;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
4.172653;12;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
4.177408;12;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
4.177725;12;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
4.177826;12;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
4.368944;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
4.379678;13;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
4.379968;13;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
4.381307;13;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
4.381489;13;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
4.401049;13;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
4.401335;13;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
4.401436;13;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
4.568775;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
4.57587;14;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
4.576104;14;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
4.577561;14;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
4.577773;14;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
4.601362;14;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
4.60169;14;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
4.601848;14;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
4.768771;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
4.784858;15;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
4.785038;15;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
4.786357;15;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
4.786516;15;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
4.80657;15;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
4.80706;15;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
4.8072;15;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
4.968822;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
4.982094;16;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
4.982269;16;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
4.983914;16;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
4.984093;16;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
5.001835;16;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
5.002116;16;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
5.002214;16;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
5.168806;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
5.188504;17;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
5.188728;17;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
5.190156;17;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
5.190327;17;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
5.207127;17;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
5.207409;17;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
5.207507;17;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
5.368873;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
5.37058;18;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
5.37078;18;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
5.371947;18;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
5.372101;18;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
5.389443;18;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
5.389782;18;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
5.389875;18;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
5.568798;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
5.59045;19;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
5.590658;19;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
5.592013;19;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
5.592188;19;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
5.610691;19;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
5.61097;19;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
5.611067;19;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
5.768769;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
5.770618;20;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
5.770791;20;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
5.772107;20;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
5.772284;20;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
